"age","industry","title","context","salary","benefits","currency","currency.other","income_context","country","us_state","city","exp_total","exp_field","education","gender","race"
"25-34","computing or tech","SOFTWARE ENGINEER","Senior Software Engineer",120000,10000,NA,"","I'm working in a green energy focused startup so my total compensation is less than my previous job. ","UNITED STATES","Massachusetts","BOSTON","2 - 4 years","2 - 4 years","College degree","Man","Hispanic, Latino, or Spanish origin"
"25-34","education (higher education)","CHIEF OF STAFF","To the President",140000,NA,NA,"","","UNITED STATES","New York","NEW YORK CITY","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"18-24","engineering or manufacturing","PRODUCT ENGINEER, ROBOTICS AND SENSORS","",1e+05,0,NA,"","Eligible for bonus but haven't yet received, also have stock options ","UNITED STATES","Massachusetts","CAMBRIDGE","2 - 4 years","2 - 4 years","College degree","Woman","Asian or Asian American, Black or African American"
"18-24","government and public administration","OFFICE OPERATIONS ASSOCIATE","",32000,NA,NA,"","","UNITED STATES","Wisconsin","MADISON","2 - 4 years","2 - 4 years","College degree","Woman","White"
"45-54","education (higher education)","POSTDOCTORAL RESEARCH FELLOW","This is my first position in academia since getting my PhD",52000,0,NA,"","","UNITED STATES","Indiana","BLOOMINGTON","31 - 40 years","11 - 20 years","PhD","Woman","White"
"35-44","nonprofits","DIRECTOR OF DEVELOPMENT","",68000,0,NA,"","","UNITED STATES","New York","NEW YORK","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","government and public administration","E-LEARNING SPECIALIST","",60000,1200,NA,"","","UNITED STATES","Florida","PENSACOLA","8 - 10 years","5-7 years","Master's degree","Woman","White"
"35-44","education (primary/secondary)","TEACHER","",69770,0,NA,"","","UNITED STATES","Ohio","CINCINNATI","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","computing or tech","STAFF SITE RELIABILITY ENGINEER","",187500,15000,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","21 - 30 years","5-7 years","High School","Man","White"
"35-44","utilities and telecommunications","ACCOUNTING MANAGER","",113000,20000,NA,"","","UNITED STATES","Washington","SEATTLE","11 - 20 years",NA,"College degree","Man","White"
"25-34","art and design","EXHIBITIONS MANAGER"," I work for an art museum",81000,0,NA,"","","NEW ZEALAND",NA,"WELLINGTON","8 - 10 years","5-7 years","College degree","Woman","White"
"25-34","computing or tech","SR OPERATIONS MANAGER","",360000,NA,NA,"","","UNITED STATES","New York","NEW YORK","8 - 10 years","5-7 years","College degree","Woman","White"
"25-34","government and public administration","TRAINING & DEVELOPMENT SPECIALIST","",41000,0,NA,"","","UNITED STATES","Tennessee","NASHVILLE","5-7 years","5-7 years","Master's degree","Woman","White"
"25-34","pharma","PROJECT SPECIALIST","",62000,NA,NA,"","","UNITED STATES","Massachusetts","CAMBRIDGE","2 - 4 years","1 year or less","College degree","Woman","White"
"45-54","insurance","PURCHASING CARD PROGRAM ADMINISTRATOR","",63000,8000,NA,"","","UNITED STATES","Virginia","RICHMOND","11 - 20 years",NA,"Master's degree","Woman","White"
"25-34","art and design","ASSISTANT CURATOR","",58500,NA,NA,"","","UNITED STATES","New York","NEW YORK","8 - 10 years","5-7 years","College degree","Woman","Black or African American"
"45-54","health care","STATISTICAL PROGRAMMER II","",87000,NA,NA,"","","UNITED STATES","Michigan","YPSILANTI","21 - 30 years","11 - 20 years","College degree","Woman","White"
"18-24","food service","LINE SERVER","",21000,0,NA,"","","UNITED STATES","Pennsylvania","DALLAS","2 - 4 years","31 - 40 years","Some college","","White"
"25-34","education (higher education)","ANNUAL GIVING MANAGER","",65000,NA,NA,"","","UNITED STATES","Maryland","BALTIMORE","5-7 years","5-7 years","College degree","Woman","White"
"25-34","nonprofits","ASSISTANT DIRECTOR","",37000,0,NA,"","","UNITED STATES","New Jersey","VERNON","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","marketing, advertising and pr","CAMPAIGN MANAGER","",540000,NA,NA,"","","UNITED STATES","Colorado","DENVER","8 - 10 years",NA,"College degree","Woman","Black or African American, Hispanic, Latino, or Spanish origin"
"35-44","nonprofits","DIRECTOR OF DEVELOPMENT","",57500,0,NA,"","","UNITED STATES","Wisconsin","MILWAUKEE","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","nonprofits","PROGRAM COORDINATOR","",46725,NA,NA,"","","UNITED STATES","New York","NEW YORK","8 - 10 years","5-7 years","Master's degree","Woman","White"
"35-44","education (primary/secondary)","SUBSTITUTE TEACHER","",26000,0,NA,"","","UNITED STATES","Ohio","DAYTON","11 - 20 years","5-7 years","College degree","Woman","White"
"35-44","government and public administration","ENVIRONMENTAL SPECIALIST","",56000,0,NA,"","","UNITED STATES","Ohio","DAYTON","11 - 20 years","5-7 years","College degree","Man",""
"35-44","paid student intern in tech","INTERN SOFTWARE DEVELOPER","",40000,0,NA,"","","CANADA",NA,"TORONTO","1 year or less","1 year or less","Some college","Woman","Asian or Asian American"
"35-44","government and public administration","MANAGER OF COMMUNITY AND FAMILY SERVICES","Children's librarian",70000,700,NA,"","","CANADA",NA,"MONTREAL","5-7 years","5-7 years","Master's degree","Woman","White"
"45-54","engineering or manufacturing","ENGINEERING MANAGER I","",86382,0,NA,"","","UNITED STATES","Utah","OREM","21 - 30 years","21 - 30 years","Master's degree","Man","White"
"35-44","education (higher education)","PROFESSOR","",139000,NA,NA,"","","UNITED STATES","Illinois",NA,"11 - 20 years","11 - 20 years","PhD","Woman","White"
"25-34","accounting, banking and finance","HUMAN RESOURCES MANAGER","",86600,2500,NA,"","","UNITED STATES","Missouri","JOPLIN","11 - 20 years",NA,"Master's degree","Woman","White"
"25-34","education (higher education)","FIELD STATION DIRECTOR/ASSISTANT RESEARCH SCIENTIST","I run an independent research program, and a facility, manage a team of 10-20 depending on the time of year. ",70000,0,NA,"","","UNITED STATES","Illinois","PEORIA, IL","2 - 4 years","2 - 4 years","PhD","Woman","White"
"25-34","hospitality and events","FACILITIES MANAGER","",34000,0,NA,"","","UNITED KINGDOM/UK",NA,"LIVERPOOL","5-7 years","2 - 4 years","College degree","Woman","White"
"25-34","engineering or manufacturing","STAFF GEOLOGIST","",57636,0,NA,"","","UNITED STATES","Georgia","ATLANTA","2 - 4 years","2 - 4 years","Master's degree","Woman","White"
"45-54","computing or tech","MASTER TRAINER","",117000,NA,NA,"","","UNITED STATES","Washington","SEATTLE","21 - 30 years","21 - 30 years","College degree","Man","White"
"25-34","engineering or manufacturing","PROJECT ENGINEER","",95000,15000,NA,"","","UNITED STATES","Pennsylvania","WEST CHESTER","8 - 10 years",NA,"Master's degree","Woman","White"
"25-34","education (higher education)","LIBRARIAN","",46000,0,NA,"","","UNITED STATES","Utah","OREM","8 - 10 years","5-7 years","Master's degree","Woman","White"
"45-54","oil and gas","HUMAN RESOURCES ADVISOR","",83200,7000,NA,"","","UNITED STATES","Wisconsin","SUPERIOR","11 - 20 years","5-7 years","College degree","Woman","Native American or Alaska Native"
"35-44","media and digital","WEB CONTENT ADMINISTRATOR","",83000,NA,NA,"","","UNITED STATES","District of Columbia","DISTRICT OF COLUMBIA","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","computing or tech","SENIOR BI DEVELOPER","Creating data tables, pipelines, and reports for the purposes of product analysis. ",150000,NA,NA,"","We receive company stock (RSUs). The value is dependent on the share price, and you have to wait a year before you can sell 25%, and 4 years before you can sell all of your shares, but hypothetically, I currently have ~$500k in stock.","UNITED STATES","California","SAN FRANCISCO","2 - 4 years","2 - 4 years","College degree","Woman","White"
"55-64","accounting, banking and finance","MANAGER","",88000,8800,NA,"","","UNITED STATES","Iowa","DES MOINES","31 - 40 years","31 - 40 years","College degree","Man","White"
"35-44","government and public administration","LIBRARIAN","Prison librarian for state prison",56860,0,NA,"","I've been in my job for 10 years; starting salary is $45,654","UNITED STATES","Rhode Island","CRANSTON, RI","11 - 20 years",NA,"Master's degree","Woman","White"
"35-44","nonprofits","EARLY INTERVENTION DEVELOPMENTAL SPECIALIST","Home visitor for children under 3 with developmental delays or disabilities",36000,1000,NA,"","I get bonuses based on exceeding my required productivity, ranging from 300-2400 dollars extra per year depending on the year","UNITED STATES","Massachusetts","SOUTH HADLEY","11 - 20 years","2 - 4 years","Master's degree","Man","White"
"35-44","pharmaceutical","ASSOCIATE DIRECTOR GLOBAL SCIENTIFIC COMMUNICATIONS","",185000,30000,NA,"","","UNITED STATES","North Carolina","RALEIGH; ROLE BASED OUT OF BOSTON MA","5-7 years","5-7 years","PhD","Woman","White"
"25-34","computing or tech","SENIOR ENGINEER","",180000,0,NA,"","","UNITED STATES","Massachusetts","BOSTON","5-7 years","5-7 years","College degree","Man","White"
"45-54","nonprofits","DIRECTOR OF FINANCE","",130000,10000,NA,"","there's a very good defined benefit pension as well","CANADA",NA,"OTTAWA","21 - 30 years","21 - 30 years","Professional degree (MD, JD, etc.)","Woman","White"
"35-44","social work","MEDICAL SOCIAL WORKER","Hospice",64890,600,NA,"","Bonus this year was for frontline staff during Covid ","UNITED STATES","Arizona","PHOENIX","21 - 30 years","21 - 30 years","PhD","Woman","White"
"45-54","printing","DIGITAL PREPRESS","",61360,NA,NA,"","","UNITED STATES","Massachusetts","NEWBURYPORT","31 - 40 years","21 - 30 years","College degree","Woman","White"
"35-44","education (higher education)","LABORATORY SUPERVISOR","",67000,NA,NA,"","","UNITED STATES","Washington","SEATTLE","8 - 10 years",NA,"Master's degree","Woman","White"
"25-34","engineering or manufacturing","RESEARCH SCIENTIST","",141000,14000,NA,"","","UNITED STATES","Texas","LAKE JACKSON","5-7 years",NA,"PhD","Woman","Another option not listed here or prefer not to answer"
"25-34","accounting, banking and finance","EMPLOYEE RELATIONS ADVISOR","HR Specialist",59000,0,NA,"","","UNITED STATES","Louisiana","BATON ROUGE","5-7 years","2 - 4 years","Master's degree","Woman","White"
"25-34","computing or tech","DEVELOPER","Web Developer / Web Engineer",80000,500,NA,"","","UNITED STATES","Ohio","DAYTON","11 - 20 years","5-7 years","College degree","Woman","White"
"25-34","accounting, banking and finance","SENIOR OPERATIONS ASSOCIATE","",80000,8000,NA,"","","UNITED STATES","Missouri","SAINT LOUIS","8 - 10 years","5-7 years","College degree","Woman","White"
"55-64","government and public administration","LEAD ANALYST","",180000,1250,NA,"","","UNITED STATES","District of Columbia","WASHINGTONDC","31 - 40 years","31 - 40 years","PhD","Woman","White"
"35-44","education (primary/secondary)","SPANISH TEACHER","Also have residential life and activities moderating/coaching responsibilities.",48000,NA,NA,"","Also receive room and board. I'm paid drastically more than my peers at this school.","UNITED STATES","Massachusetts","SMALL RURAL TOWN WOULD NO LONGER BE ANONYMOUS IF STATED","11 - 20 years","11 - 20 years","PhD","Woman","White"
"25-34","education (higher education)","ADMISSION PROSPECT DATA SPECIALIST","",36000,0,NA,"","","UNITED STATES","Oregon","PORTLAND","5-7 years","5-7 years","Master's degree","Woman","White"
"25-34","law","INFORMATION MANAGER","Qualified librarian ",63500,0,NA,"","London-based - higher wages. 35 hour week is full time in UK so haven't made pro-rata for 40 hours","UNITED KINGDOM/UK",NA,"LONDON","8 - 10 years",NA,"Professional degree (MD, JD, etc.)","Woman","White"
"25-34","nonprofits","MAJOR GIFTS OFFICER","",87500,5000,NA,"","Bonus can vary year-to-year based on percentage over fundraising goal achieved ","UNITED STATES","District of Columbia","WASHINGTON","8 - 10 years",NA,"Master's degree","Woman","White"
"25-34","marketing, advertising and pr","ASSISTANT ACCOUNT EXECUTIVE","",40000,8000,NA,"","","UNITED STATES","California","LOS ANGELES","5-7 years","2 - 4 years","College degree","Man",""
"25-34","utilities and telecommunications","ENGINEER 3","",104000,17000,NA,"","","UNITED STATES","Maryland","LUSBY","8 - 10 years",NA,"College degree","Woman","White"
"25-34","","CHEMIST","",81000,3000,NA,"","","UNITED STATES","California","PITTSBURG","5-7 years","5-7 years","PhD","Woman","Asian or Asian American"
"25-34","entertainment","SUPERVISING PRODUCER","Digital Production ",70000,5000,NA,"","","UNITED STATES","California","LOS ANGELES","5-7 years","5-7 years","College degree","Woman","White"
"25-34","education (higher education)","POSTDOC RESEARCH ASSOCIATE","",48500,NA,NA,"","","UNITED STATES","Iowa","AMES","5-7 years","5-7 years","PhD","Woman","White"
"25-34","education (higher education)","INSTRUCTOR OF MARKETING","Not tenure track",75000,6000,NA,"","Bonus money is for teaching classes over the summer (3,000 per class)","UNITED STATES","Mississippi","HATTIESBURG","2 - 4 years","1 year or less","Master's degree","Woman","White"
"45-54","biomedical research","RESEARCH TECH II","",45760,NA,NA,"","","UNITED STATES","Kentucky","LOUISVILLE","21 - 30 years","21 - 30 years","Master's degree","Woman","White"
"25-34","recruitment or hr","ENTERPRISE RESOURCE PLANNING ANALYST I","HRIS Systems admin",57500,NA,NA,"","","UNITED STATES","Ohio","CINCINNATI","2 - 4 years","2 - 4 years","College degree","Woman","White"
"35-44","computing or tech","SENIOR DEVELOPER RELATIONS MANAGER","",110000,0,NA,"","","CANADA",NA,"MONTREAL","11 - 20 years","11 - 20 years","Master's degree","Woman","Hispanic, Latino, or Spanish origin"
"25-34","health care","MIDWIFE","NHS midwife in UK",31000,1000,NA,"","","UNITED KINGDOM/UK",NA,"BRIGHTON","2 - 4 years","1 year or less","Master's degree","Woman","White"
"35-44","health care","DIRECTOR OF ANALYTICS","",185000,30000,NA,"","","UNITED STATES","Illinois","CHICAGO","11 - 20 years",NA,"Master's degree","Man","White"
"45-54","utilities and telecommunications","EXECUTIVE ASSISTANT","",63000,0,NA,"","","UNITED STATES","Rhode Island","WEST WARWICK","31 - 40 years","31 - 40 years","Some college","Woman","White"
"35-44","computing or tech","PRODUCT MANAGER","",130000,0,NA,"","","UNITED STATES",NA,"PHILADELPHIA","11 - 20 years","11 - 20 years","College degree","Man","White"
"45-54","government and public administration","NATURAL RESOURCE MANAGER","",90000,0,NA,"","","UNITED STATES","Virginia","NORFOLK","21 - 30 years","11 - 20 years","Master's degree","Man","Another option not listed here or prefer not to answer"
"18-24","computing or tech","STATISTICAL ASSOCIATE","",55900,NA,NA,"","","UNITED STATES","District of Columbia","WASHINGTON","1 year or less","1 year or less","College degree","Woman","Black or African American"
"35-44","computing or tech","SENIOR DATA SCIENTIST","",160000,NA,NA,"","","UNITED STATES","Illinois","CHICAGO","8 - 10 years",NA,"Master's degree","Woman","White"
"25-34","business or consulting","SUPPLY CHAIN ANALYST","",43000,NA,NA,"","","CANADA",NA,"MONTREAL","2 - 4 years","2 - 4 years","College degree","Woman","Asian or Asian American"
"25-34","hospitality and events","TECHNICAL DATA ANALYST","",59000,2000,NA,"","","UNITED STATES","Indiana","CARMEL","8 - 10 years","5-7 years","College degree","Woman","White"
"25-34","recruitment or hr","RECRUITER","",89000,13300,NA,"","","UNITED STATES","Michigan","ANN ARBOR","8 - 10 years","2 - 4 years","College degree","Woman","White"
"25-34","law","LIBRARIAN","",66000,1000,NA,"","","UNITED STATES","Virginia","RICHMOND","8 - 10 years","5-7 years","Master's degree","Woman","White"
"35-44","education (higher education)","ACADEMIC ADVISOR/RECRUITER FOR MASTER'S PROGRAM","",72300,NA,NA,"","","UNITED STATES","District of Columbia","WASHINGTON","11 - 20 years","5-7 years","PhD","Woman","White"
"35-44","insurance","SENIOR VICE PRESIDENT","",170000,70000,NA,"","","UNITED STATES","Michigan","DETROIT","11 - 20 years","11 - 20 years","College degree","Not reported","Another option not listed here or prefer not to answer"
"35-44","education (higher education)","ASSISTANT PROFESSOR","Nursing tenure track",11500,0,NA,"","","UNITED STATES","Kentucky","LOUISVILLE","21 - 30 years","11 - 20 years","Professional degree (MD, JD, etc.)","Woman","White"
"55-64","media and digital","DEVELOPMENTAL EDITOR","Freelance",72000,NA,NA,"","","UNITED STATES","Ohio","CLEVELAND","31 - 40 years","11 - 20 years","High School","Woman","White"
"35-44","health care","OCCUPATIONAL THERAPY","Outpatient",93000,1000,NA,"","","UNITED STATES","North Carolina","CHARLOTTE","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","engineering or manufacturing","SENIOR SOFTWARE ENGINEER","",147000,0,NA,"","","UNITED STATES","Massachusetts","BOSTON","2 - 4 years","2 - 4 years","College degree","Woman","Asian or Asian American"
"25-34","accounting, banking and finance","CONSOLIDATION MANAGER","",102000,10000,NA,"","","UNITED STATES","Kentucky","MOUNT WASHINGTON","8 - 10 years",NA,"Master's degree","Woman","White"
"25-34","engineering or manufacturing","HR GENERALIST","",40000,NA,NA,"","","UNITED STATES","Idaho","BOISE","8 - 10 years","2 - 4 years","Some college","Woman","White"
"25-34","computing or tech","LEVEL 2 SYS ADMIN","",55000,6000,NA,"","","UNITED STATES","Indiana","INDIANAPOLIS","5-7 years","5-7 years","College degree","Not reported","Another option not listed here or prefer not to answer"
"25-34","computing or tech","DEVELOPMENT TEAM LEAD","",55000,3100,NA,"","","UNITED KINGDOM/UK",NA,"LEEDS","8 - 10 years",NA,"College degree","Man","White"
"35-44","marketing, advertising and pr","CONTENT DEVELOPER AND RESEARCHER","",50000,NA,NA,"","","UNITED STATES","California","SAN DIEGO","11 - 20 years",NA,"College degree","Woman","White"
"35-44","","VETERINARIAN","",50000,0,NA,"","","UNITED STATES","Missouri","ST LOUIS, MO","5-7 years","5-7 years","Professional degree (MD, JD, etc.)","Woman","White"
"25-34","computing or tech","SOFTWARE ENGINEER","",189000,0,NA,"","","UNITED STATES","California","SAN FRANCISCO","5-7 years","5-7 years","Master's degree","Man","Asian or Asian American"
"35-44","accounting, banking and finance","CONTROLLER","",82500,NA,NA,"","","UNITED STATES","Indiana","INDIANAPOLIS","11 - 20 years",NA,"Master's degree","Woman","White"
"45-54","education (higher education)","GRANTS ACCOUNTANT SR","",62000,0,NA,"","","UNITED STATES","West Virginia","MORGANTOWN","21 - 30 years",NA,"Master's degree","Woman","White"
"25-34","government and public administration","BUSINESS OFFICE COORDINATOR","",41000,0,NA,"","","UNITED STATES","Louisiana","BATON ROUGE","2 - 4 years","2 - 4 years","College degree","Woman","White"
"18-24","accounting, banking and finance","MANAGER","",20000,1000,NA,"","","ZIMBABWE","Alabama","NEW YORK","2 - 4 years","2 - 4 years","College degree","Man","Black or African American"
"25-34","engineering or manufacturing","SANITATION MANAGER","",87000,30000,NA,"","I work every other weekend and get paid overtime for all hours worked on weekends.","UNITED STATES","Virginia","RICHMOND","5-7 years","5-7 years","Master's degree","Man","White"
"35-44","agriculture or forestry","TURNIP FARMER","",5e+05,0,NA,"","","UNITED STATES","Hawaii","PREFER NOT TO SAY","8 - 10 years","2 - 4 years","PhD","Non-binary","Native American or Alaska Native"
"25-34","health care","PHYSICIAN RECRUITER","",68300,0,NA,"","","UNITED STATES","Kansas","SHAWNEE","11 - 20 years","5-7 years","College degree","Woman","White"
"25-34","retail","ASSISTANT MANAGER","",40560,0,NA,"","I'm an hourly employee with reduced hours due to the pandemic","CANADA",NA,"VANCOUVER","5-7 years","1 year or less","Some college","Woman","White"
"35-44","computing or tech","SENIOR CLOUD SOLUTIONS ARCHITECT","",90000,30000,NA,"","","UNITED KINGDOM/UK",NA,"VIRTUAL","21 - 30 years","21 - 30 years","College degree","Woman","White"
"25-34","business or consulting","SENIOR EXPERIENCE STRATEGIST","",73645,3000,NA,"","","UNITED STATES","Pennsylvania","PITTSBURGH","2 - 4 years","2 - 4 years","Master's degree","Woman","White"
"25-34","law","STAFF ATTORNEY","Public defender ",99000,NA,NA,"","","UNITED STATES","Washington","SEATTLE","5-7 years","2 - 4 years","Professional degree (MD, JD, etc.)","Woman","White"
"25-34","health care","RESEARCH COORDINATOR","",70000,NA,NA,"","","CANDA",NA,"TORONTO","1 year or less","2 - 4 years","Master's degree","Woman","Asian or Asian American"
"35-44","accounting, banking and finance","ACCOUNTANT","Specialist",87400,NA,NA,"","","UNITED STATES","Connecticut","WINDSOR LOCKS","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","computing or tech","PRODUCT DIRECTOR","Lead a team of PMs - responsible for all of revenue",165000,NA,NA,"","Given 35,000 option to buy @ $4 ;;; targeting a $25 IPO in 3 years","UNITED STATES","Washington","SEATTLE","2 - 4 years","2 - 4 years","College degree","Woman","White"
"45-54","retail","ACCOUNTANT","",90000,0,NA,"","","UNITED STATES","Minnesota","TWIN CITIES","21 - 30 years","21 - 30 years","College degree","Woman","White"
"25-34","education (higher education)","GRADUATE STUDIES COORDINATOR","",38000,0,NA,"","","UNITED STATES","Indiana","SOUTH BEND","8 - 10 years","5-7 years","College degree","Woman","Hispanic, Latino, or Spanish origin"
"35-44","computing or tech","PROJECT MANAGER","Not an engineering project manager or an agile PM, I work for Support",82000,NA,NA,"","","UNITED STATES","California","IRVINE","11 - 20 years","2 - 4 years","College degree","Man","White"
"25-34","nonprofits","CLINIC DIRECTOR","",75000,NA,NA,"","","UNITED STATES","Massachusetts","ORANGE","8 - 10 years",NA,"Master's degree","Woman","White"
"45-54","law","GOVERNMENT ATTORNEY","",163000,0,NA,"","","UNITED STATES","Virginia","ARLINGTON","21 - 30 years","21 - 30 years","Professional degree (MD, JD, etc.)","Woman","Middle Eastern or Northern African, White"
"35-44","business or consulting","VICE PRESIDENT","",85000,10000,NA,"","","UNITED STATES","Maryland","GAITHERSBURG","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","biotech","SCIENTIFIC MANAGER","",128000,16000,NA,"","","UNITED STATES","Massachusetts","CAMBRIDGE","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","business or consulting","CONSUMER BACK OFFICE REPRESENTATIVE- FINANCIALS","I provide back office support for customer service, specifically regarding financial concerns.",35360,0,NA,"","Hourly, with variable hours optional (they will frequently offer surplus, so you can clock out early without penalty)","UNITED STATES","Washington","REDMOND","8 - 10 years","1 year or less","College degree","Non-binary","White"
"55-64","law","LAW CLERK","",93000,1500,NA,"","","CANADA",NA,"TORONTO","21 - 30 years","11 - 20 years","College degree","Woman","White"
"35-44","computing or tech","SENIOR SOFTWARE ENGINEER","",157000,24000,NA,"","","UNITED STATES","California","SAN FRANCISCO BAY AREA","11 - 20 years","5-7 years","Master's degree","Woman","White"
"35-44","education (higher education)","CAREERS CONSULTANT","",39000,0,NA,"","","UNITED KINGDOM/UK",NA,"LEEDS","11 - 20 years","11 - 20 years","PhD","Woman","White"
"45-54","freelance/self-employed consultant","DON'T HAVE ONE DON'T NEED ONE","I'm a freelance employee/consultant whose work fills a variety of roles in several different industries and my \side hustle\\" is working on my own projects. (It's kinda whack there wasn't the option to check more than one box in this economy.) \"",120000,0,NA,"","","UNITED STATES","California","LOS ANGELES","11 - 20 years",NA,"College degree","Man","White"
"45-54","engineering or manufacturing","EXECUTIVE ASSISTANT","",65000,7000,NA,"","","UNITED STATES",NA,"ANN ARBOR AREA","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","education (higher education)","ASSISTANT DIRECTOR OF HEALTH & COUNSELING SERVICES","",60000,NA,NA,"","","UNITED STATES","New York","ROCHESTER","21 - 30 years","11 - 20 years","Master's degree","Woman","White"
"45-54","education (higher education)","RESEARCH COORDINATOR","",87197,NA,NA,"","I also get 17.5% superannuation on top of salary","AUSTRALIA",NA,"MELBOURNE","21 - 30 years","2 - 4 years","Some college","Man","White"
"25-34","marketing, advertising and pr","MARKETING STRATEGY MANAGER","In commercial real estate industry",61000,4000,NA,"","","UNITED STATES","Massachusetts","NEEDHAM, MA","11 - 20 years","5-7 years","Some college","Woman","White"
"55-64","accounting, banking and finance","TAX MANAGER","",90000,0,NA,"","","UNITED STATES","Colorado","LOUISVILLE","5-7 years",NA,"College degree","Woman","White"
"25-34","computing or tech","DIGITAL DESIGNER","",90000,NA,NA,"","","UNITED STATES","New York","NEW YORK","8 - 10 years","5-7 years","College degree","Woman","White"
"35-44","nonprofits","DIRECTOR, LEARNING & DEVELOPMENT","",90000,0,NA,"","","UNITED STATES","Texas","HOUSTON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"45-54","entertainment","PAYROLL ACCOUNTANT","",145600,20000,NA,"","I get additional money if I am working on location - approximately 500 per week","UNITED STATES","California","LOS ANGELES, OR I TRAVEL FOR WORK","31 - 40 years","21 - 30 years","College degree","Woman","White"
